0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"K. Durant, .S. Curry, .J. Jerebko, .K. Thompson, .Q. Cook",GSW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"S. Livingston, .A. Iguodala, .S. Curry, .K. Thompson, .Q. Cook",GSW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"S. Livingston, .K. Durant, .S. Curry, .K. Thompson, .D. Green",GSW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"S. Livingston, .K. Durant, .S. Curry, .K. Thompson, .K. Looney",GSW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"P. George, .P. Patterson, .D. Schroder, .S. Adams, .T. Ferguson",OKC,1,16.5,43.0,14.0,33.0,42.4,5.0,14.0,35.7,10.0,13.0,76.9,7.0,9.0,16.0,10.0,7.0,8.0,1.0,3.0,6.0,10.0,1.0,2018-10-16
"P. George, .D. Schroder, .S. Adams, .A. Abrines, .J. Grant",OKC,1,8.3,10.0,4.0,13.0,30.8,0.0,2.0,0.0,2.0,4.0,50.0,1.0,5.0,6.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,-14.0,2018-10-16
"R. Felton, .N. Noel, .A. Abrines, .J. Grant, .H. Diallo",OKC,1,7.3,14.0,4.0,11.0,36.4,0.0,4.0,0.0,6.0,10.0,60.0,1.0,5.0,6.0,4.0,2.0,2.0,1.0,1.0,5.0,7.0,0.0,2018-10-16
"P. George, .D. Schroder, .S. Adams, .J. Grant, .T. Ferguson",OKC,1,7.1,12.0,3.0,12.0,25.0,2.0,5.0,40.0,4.0,6.0,66.7,2.0,4.0,6.0,3.0,2.0,1.0,1.0,1.0,4.0,6.0,0.0,2018-10-16
"R. Felton, .P. George, .N. Noel, .A. Abrines, .J. Grant",OKC,1,4.2,8.0,3.0,10.0,30.0,1.0,7.0,14.3,1.0,2.0,50.0,2.0,5.0,7.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2018-10-16
"R. Felton, .P. Patterson, .S. Adams, .A. Abrines, .T. Ferguson",OKC,1,1.5,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-10-16
"D. Schroder, .S. Adams, .A. Abrines, .J. Grant, .H. Diallo",OKC,1,1.3,7.0,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2018-10-16
"R. Felton, .P. George, .N. Noel, .J. Grant, .T. Ferguson",OKC,1,0.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2018-10-16
"P. Patterson, .D. Schroder, .S. Adams, .A. Abrines, .T. Ferguson",OKC,1,0.5,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018-10-16
"P. George, .P. Patterson, .D. Schroder, .S. Adams, .A. Abrines",OKC,1,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,2018-10-16
"N. Noel, .S. Adams, .A. Abrines, .J. Grant, .H. Diallo",OKC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"P. George, .P. Patterson, .D. Schroder, .S. Adams, .J. Grant",OKC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"P. George, .S. Adams, .A. Abrines, .J. Grant, .H. Diallo",OKC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"R. Felton, .P. George, .D. Schroder, .A. Abrines, .J. Grant",OKC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"R. Felton, .P. George, .D. Schroder, .J. Grant, .T. Ferguson",OKC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
"M. Williams, .N. Batum, .K. Walker, .J. Lamb, .C. Zeller",CHA,1,9.3,15.0,6.0,19.0,31.6,3.0,8.0,37.5,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,-11.0,2018-10-17
"T. Parker, .N. Batum, .K. Walker, .M. Kidd-Gilchrist, .M. Monk",CHA,1,7.3,21.0,7.0,12.0,58.3,4.0,5.0,80.0,3.0,4.0,75.0,1.0,6.0,7.0,4.0,2.0,0.0,4.0,0.0,1.0,5.0,8.0,2018-10-17
"N. Batum, .K. Walker, .J. Lamb, .C. Zeller, .M. Monk",CHA,1,4.0,13.0,5.0,10.0,50.0,1.0,4.0,25.0,2.0,2.0,100,2.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,2018-10-17
"T. Parker, .M. Kidd-Gilchrist, .W. Hernangomez, .M. Monk, .M. Bridges",CHA,1,3.8,11.0,4.0,7.0,57.1,1.0,1.0,100,2.0,2.0,100,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,6.0,2018-10-17
"T. Parker, .M. Williams, .C. Zeller, .M. Monk, .M. Bridges",CHA,1,3.1,6.0,2.0,5.0,40.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0,2018-10-17
"M. Williams, .K. Walker, .J. Lamb, .C. Zeller, .M. Bridges",CHA,1,2.6,6.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2018-10-17
"M. Williams, .N. Batum, .K. Walker, .W. Hernangomez, .M. Monk",CHA,1,2.6,8.0,2.0,7.0,28.6,1.0,3.0,33.3,3.0,4.0,75.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2018-10-17
"M. Williams, .N. Batum, .K. Walker, .M. Kidd-Gilchrist, .J. Lamb",CHA,1,2.4,9.0,3.0,6.0,50.0,2.0,4.0,50.0,1.0,2.0,50.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,2018-10-17
"N. Batum, .K. Walker, .M. Kidd-Gilchrist, .J. Lamb, .M. Monk",CHA,1,2.4,3.0,1.0,5.0,20.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-3.0,2018-10-17
"M. Williams, .K. Walker, .C. Zeller, .M. Monk, .M. Bridges",CHA,1,2.0,5.0,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018-10-17
"N. Batum, .K. Walker, .M. Kidd-Gilchrist, .W. Hernangomez, .M. Monk",CHA,1,1.6,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-6.0,2018-10-17
