,Unnamed: 0,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Date_c,Home_abb,Date_fmt,Date_shifted,Season,Errorlabel,RegularSeason,date_check,team_check,exist_check
115,6836,Wed Feb 13 2008,7:00p,San Antonio Spurs,112,Cleveland Cavaliers,105,Box Score,,20562,,Feb 13 2008,CLE,2008-02-13,02-14-2008,2007-08,0,1,,,
116,8473,Sat Jan 19 2008,7:00p,Toronto Raptors,95,Philadelphia 76ers,99,Box Score,,13853,,Jan 19 2008,PHI,2008-01-19,01-20-2008,2007-08,0,1,,,
117,16518,Mon Dec 10 2007,10:00p,Milwaukee Bucks,93,Sacramento Kings,96,Box Score,,12449,,Dec 10 2007,SAC,2007-12-10,12-11-2007,2007-08,0,1,,,
118,16644,Fri Dec 28 2007,10:00p,Philadelphia 76ers,92,Sacramento Kings,80,Box Score,,13897,,Dec 28 2007,SAC,2007-12-28,12-29-2007,2007-08,0,1,,,
119,15123,Sun Nov 4 2007,6:00p,Charlotte Bobcats,90,Miami Heat,88,Box Score,,19600,,Nov 4 2007,MIA,2007-11-04,11-05-2007,2007-08,0,1,,,
120,16463,Mon Dec 3 2007,7:00p,Atlanta Hawks,88,Philadelphia 76ers,79,Box Score,,11465,,Dec 3 2007,PHI,2007-12-03,12-04-2007,2007-08,0,1,,,
121,15098,Thu Nov 1 2007,8:00p,Detroit Pistons,91,Miami Heat,80,Box Score,,19600,,Nov 1 2007,MIA,2007-11-01,11-02-2007,2007-08,0,1,,,
122,16473,Tue Dec 4 2007,10:00p,Utah Jazz,107,Sacramento Kings,117,Box Score,,12688,,Dec 4 2007,SAC,2007-12-04,12-05-2007,2007-08,0,1,,,
123,6851,Tue Feb 19 2008,7:00p,Houston Rockets,93,Cleveland Cavaliers,85,Box Score,,20562,,Feb 19 2008,CLE,2008-02-19,02-20-2008,2007-08,0,1,,,
124,6862,Wed Feb 20 2008,7:00p,New York Knicks,84,Philadelphia 76ers,124,Box Score,,12881,,Feb 20 2008,PHI,2008-02-20,02-21-2008,2007-08,0,1,,,
125,16495,Fri Dec 7 2007,8:00p,Memphis Grizzlies,116,New Orleans Hornets,118,Box Score,OT,10386,,Dec 7 2007,NOH,2007-12-07,12-08-2007,2007-08,1,1,,,
126,16511,Sun Dec 9 2007,7:00p,Seattle SuperSonics,88,New Orleans Hornets,91,Box Score,,10773,,Dec 9 2007,NOH,2007-12-09,12-10-2007,2007-08,1,1,,,
127,15137,Tue Nov 6 2007,10:00p,Seattle SuperSonics,98,Sacramento Kings,104,Box Score,,14908,,Nov 6 2007,SAC,2007-11-06,11-07-2007,2007-08,0,1,,,
128,15171,Sat Nov 10 2007,10:00p,Minnesota Timberwolves,93,Sacramento Kings,100,Box Score,,13170,,Nov 10 2007,SAC,2007-11-10,11-11-2007,2007-08,0,1,,,
129,6879,Fri Feb 22 2008,8:00p,Washington Wizards,89,Cleveland Cavaliers,90,Box Score,,20562,,Feb 22 2008,CLE,2008-02-22,02-23-2008,2007-08,0,1,,,
130,16579,Wed Dec 19 2007,7:00p,Detroit Pistons,87,Boston Celtics,85,Box Score,,18624,,Dec 19 2007,BOS,2007-12-19,12-20-2007,2007-08,0,1,,,
131,6895,Sun Feb 24 2008,6:00p,Memphis Grizzlies,89,Cleveland Cavaliers,109,Box Score,,20562,,Feb 24 2008,CLE,2008-02-24,02-25-2008,2007-08,0,1,,,
132,5611,Wed Mar 26 2008,10:00p,Memphis Grizzlies,106,Sacramento Kings,107,Box Score,OT,13433,,Mar 26 2008,SAC,2008-03-26,03-27-2008,2007-08,0,1,,,
133,3974,Wed Apr 2 2008,7:30p,New Orleans Hornets,106,Miami Heat,77,Box Score,,19122,,Apr 2 2008,MIA,2008-04-02,04-03-2008,2007-08,0,1,,,
134,5518,Fri Mar 14 2008,9:00p,Toronto Raptors,105,Denver Nuggets,137,Box Score,,17952,,Mar 14 2008,DEN,2008-03-14,03-15-2008,2007-08,0,1,,,
135,5534,Sun Mar 16 2008,9:00p,Toronto Raptors,100,Sacramento Kings,106,Box Score,,13963,,Mar 16 2008,SAC,2008-03-16,03-17-2008,2007-08,0,1,,,
136,16455,Sun Dec 2 2007,12:30p,Cleveland Cavaliers,70,Boston Celtics,80,Box Score,,18624,,Dec 2 2007,BOS,2007-12-02,12-03-2007,2007-08,0,1,,,
137,6786,Wed Feb 6 2008,7:30p,Los Angeles Clippers,100,Boston Celtics,111,Box Score,,18624,,Feb 6 2008,BOS,2008-02-06,02-07-2008,2007-08,0,1,,,
